side,entry,sl,tp,exit,result,pnl_r,open_index,close_index
BUY,3649.539762,3648.539562,3651.040062,3647.809854,LOSS,-4.6479,756,756
SELL,3649.439966,3650.439766,3647.940266,3651.169854,LOSS,-4.6511,949,949
BUY,3692.878428,3691.878228,3694.378728,3691.139852,LOSS,-4.6912,1956,1957
BUY,3706.541160,3705.540960,3708.041460,3704.799852,LOSS,-4.7049,2270,2271
SELL,3704.458960,3705.458760,3702.959260,3706.199852,LOSS,-4.7061,2402,2402
BUY,3697.839420,3696.839220,3699.339720,3696.099852,LOSS,-4.6962,2635,2635
SELL,3695.660720,3696.660520,3694.161020,3697.399852,LOSS,-4.6973,2784,2791
BUY,3698.709594,3697.709394,3700.209894,3696.969852,LOSS,-4.6971,2796,2801
SELL,3689.252002,3690.251802,3687.752302,3690.989852,LOSS,-4.6909,3299,3299
BUY,3692.568366,3691.568166,3694.068666,3690.829852,LOSS,-4.6909,3302,3305
SELL,3693.261200,3693.261200,3691.761500,3693.999852,LOSS,0.0000,4047,4050
BUY,3697.029258,3696.029058,3698.529558,3695.289852,LOSS,-4.6954,4070,4070
SELL,3694.021048,3695.020848,3692.521348,3695.759852,LOSS,-4.6957,4111,4113
SELL,3687.562340,3687.562340,3686.062640,3688.299852,LOSS,0.5000,4202,4202
SELL,3662.797294,3662.797294,3661.297594,3663.529853,LOSS,0.0000,4607,4607
BUY,3663.972648,3662.972448,3665.472948,3662.239854,LOSS,-4.6623,4671,4671
SELL,3657.908272,3658.908072,3656.408572,3659.639854,LOSS,-4.6595,4879,4879
